2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2389830.0 |KezdésIdeje: 18:28:34 |BefejezésIdeje: 18:28:36 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2126550.0 |KezdésIdeje: 18:28:55 |BefejezésIdeje: 18:28:56 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2561019.0 |KezdésIdeje: 18:31:27 |BefejezésIdeje: 18:31:28 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2477028.0 |KezdésIdeje: 18:32:2 |BefejezésIdeje: 18:32:3 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2418806.0 |KezdésIdeje: 18:32:18 |BefejezésIdeje: 18:32:21 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2567178.0 |KezdésIdeje: 18:32:39 |BefejezésIdeje: 18:32:40 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2499921.0 |KezdésIdeje: 18:33:17 |BefejezésIdeje: 18:33:18 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2412615.0 |KezdésIdeje: 18:36:35 |BefejezésIdeje: 18:36:37 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2049121.0 |KezdésIdeje: 18:39:8 |BefejezésIdeje: 18:39:13 |Eltelido: 0:0:5 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2028798.0 |KezdésIdeje: 18:40:40 |BefejezésIdeje: 18:40:42 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2413406.0 |KezdésIdeje: 18:40:54 |BefejezésIdeje: 18:40:55 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2051860.0 |KezdésIdeje: 18:41:46 |BefejezésIdeje: 18:41:48 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2359114.0 |KezdésIdeje: 18:42:20 |BefejezésIdeje: 18:42:21 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2040377.0 |KezdésIdeje: 18:43:8 |BefejezésIdeje: 18:43:10 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2027531.0 |KezdésIdeje: 18:44:13 |BefejezésIdeje: 18:44:15 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2515433.0 |KezdésIdeje: 18:45:0 |BefejezésIdeje: 18:45:2 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2296652.0 |KezdésIdeje: 18:45:51 |BefejezésIdeje: 18:45:52 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:13 |Ablak utólsó mérete: 960X540 |Használtmemória: 2452070.0 |KezdésIdeje: 18:46:22 |BefejezésIdeje: 18:46:23 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:14 |Ablak utólsó mérete: 960X540 |Használtmemória: 2612156.0 |KezdésIdeje: 16:11:46 |BefejezésIdeje: 16:11:47 |Eltelido: 0:0:1 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:14 |Ablak utólsó mérete: 960X540 |Használtmemória: 2473911.0 |KezdésIdeje: 16:13:29 |BefejezésIdeje: 16:13:31 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:21 |Ablak utólsó mérete: 960X540 |Használtmemória: 2380663.0 |KezdésIdeje: 15:20:25 |BefejezésIdeje: 15:20:27 |Eltelido: 0:0:2 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:21 |Ablak utólsó mérete: 960X540 |Használtmemória: 2533531.0 |KezdésIdeje: 15:21:50 |BefejezésIdeje: 15:21:53 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:28 |Ablak utólsó mérete: 960X540 |Használtmemória: 1917410.0 |KezdésIdeje: 8:3:56 |BefejezésIdeje: 8:4:0 |Eltelido: 0:1:-56 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:28 |Ablak utólsó mérete: 961X494 |Használtmemória: 2142829.0 |KezdésIdeje: 8:16:23 |BefejezésIdeje: 8:21:51 |Eltelido: 0:5:28 |Előzmények: Briós 1db (95g)/Zsemle 1db (54g)/Tojássárgája/Búzacsíra/Angolszalonna/Datolya (szárított) |Kilépési szándék: 2
2021:04:30 |Ablak utólsó mérete: 960X540 |Használtmemória: 2127367.0 |KezdésIdeje: 22:36:31 |BefejezésIdeje: 22:36:40 |Eltelido: 0:0:9 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:30 |Ablak utólsó mérete: 960X540 |Használtmemória: 2622511.0 |KezdésIdeje: 22:41:19 |BefejezésIdeje: 22:41:57 |Eltelido: 0:0:38 |Előzmények: Alma/Zsemle 1db (54g)/Réteslap/Búzadara |Kilépési szándék: 0
2021:04:30 |Ablak utólsó mérete: 960X540 |Használtmemória: 1782097.0 |KezdésIdeje: 22:45:50 |BefejezésIdeje: 22:45:59 |Eltelido: 0:0:9 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:30 |Ablak utólsó mérete: 960X540 |Használtmemória: 2494487.0 |KezdésIdeje: 22:46:58 |BefejezésIdeje: 22:47:4 |Eltelido: 0:1:-54 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:30 |Ablak utólsó mérete: 960X540 |Használtmemória: 2097624.0 |KezdésIdeje: 22:47:50 |BefejezésIdeje: 22:47:53 |Eltelido: 0:0:3 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:30 |Ablak utólsó mérete: 960X540 |Használtmemória: 2639853.0 |KezdésIdeje: 22:48:9 |BefejezésIdeje: 22:48:15 |Eltelido: 0:0:6 |Előzmények: Nem voltak |Kilépési szándék: 0
2021:04:30 |Ablak utólsó mérete: 960X540 |Használtmemória: 2542074.0 |KezdésIdeje: 22:49:11 |BefejezésIdeje: 22:49:21 |Eltelido: 0:0:10 |Előzmények: Angolna |Kilépési szándék: 0
2021:04:30 |Ablak utólsó mérete: 960X540 |Használtmemória: 2448184.0 |KezdésIdeje: 22:53:6 |BefejezésIdeje: 22:53:25 |Eltelido: 0:0:19 |Előzmények: Angolna/Borsó (sárga) |Kilépési szándék: 0
2021:05:10 |Ablak utólsó mérete: 960X540 |Használtmemória: 2562978.0 |KezdésIdeje: 11:8:2 |BefejezésIdeje: 11:8:37 |Eltelido: 0:0:35 |Előzmények: Ananász/Tojás (1db)/Tojássárgája/Laskagomba/Angolna |Kilépési szándék: 0
